Cantidad,Codigo
3,010000100100001001000001
3,010000100100001001000011
4,01001011010011000101100001010111
3,010100110100001101010101
4,01011001010101100100001001010001
3,010000100100001001000111
3,010000100100001001001001
4,01000011010101100100001101000101
4,01001111010010000100010001010100
3,010000100100001001001101
4,01000100010010000100010101010001
4,01011010010010000100010001010000
3,010100110100010001000011
4,01001001010001100101001101001101
3,010000100100001001010111
3,010100110100010001000111
3,010000100100001001011010
4,01000011010101100100001001010000
4,01010110010011000101100001011001
3,010000100100001101000001
4,01001100010011110101101001011001
3,010000100100001101000011
4,01000011010101100100010001001100
3,010100110100010001010101
3,010000100100001101001000
3,010000100100001101001010
3,010100110100010001011001
3,010000100100001101001001
4,01011010010110010100010001000110
4,01001000010101000101000001010010
3,010000100100001101001101
4,01011001010101100100000101001000
4,01001001010101110101001101010111
4,01001111010010000100010001000001
3,010100110100010101000100
3,010100110100010101000111
3,010100110100010101000110
4,01000100010010000100010001010111
3,010100110100010101001000
4,01000100010010000100010001011000
4,01001001010001100101001001001111
3,010100110100010101001101
3,010100110100010101001100
3,010000100100010001000011
1,01000001
4,01010110010011000101101001001101
3,010000100100010001000010
1,01000010
1,01000011
4,01000011010101100100010101001110
4,01010110010011000101101001001111
1,01000100
1,01000101
3,010000100100010001000110
1,01000110
1,01000111
3,010000100100010001001000
1,01001000
3,010000100100010001001011
1,01001001
4,01001111010010000100011001011001
1,01001010
1,01001011
1,01001100
3,010000100100010001001111
1,01001101
1,01001110
4,01001001010101110101011001010100
1,01001111
3,010000100100010001010000
1,01010000
4,01001101010100110100001001010000
1,01010001
3,010100110100011001000011
1,01010010
3,010100110100011001000110
3,010000100100010001010101
1,01010011
1,01010100
4,01001111010110010100100001001111
4,01011001010101100100010101000101
1,01010101
4,01000101010010110100101001011001
1,01010110
3,010100110100011001001010
1,01010111
3,010000100100010001011000
1,01011000
4,01011010010110010100011101011010
1,01011001
1,01011010
4,01001010010010010101100001010010
4,01010010010100010101000001001100
4,01001010010110100101101001000111
3,010000100100010101000001
3,010000100100010101000111
3,010100110100011001011001
3,010000100100010101001100
4,01000010010000100100000101010111
4,01010110010011000101100101000101
4,01000011010101100100011001001000
4,01011001010101100100001101001000
4,01000010010000100100000101010100
3,010000100100010101001111
4,01001111010010000100011001000010
3,010000100100010101010011
3,010000100100010101010110
3,010100110100011101001010
4,01000010010100110100001001011001
3,010000100100010101011001
4,01000110010011100100110001011010
3,010100110100011101001111
4,01000011010001010100010001000110
4,01011010010010000100010101001110
3,010000100100011001000011
3,010100110100011101010101
3,010000100100011001000101
4,01010100010001100101011001001001
3,010100110100011101010110
3,010100110100011101011001
4,01000100010010000100100101001101
4,01000001010100000100000101001000
4,01000111010100010101001001010010
4,01001001010101110101100001011000
3,010000100100011001010001
4,01000001010100000100000101000101
4,01010011010101000101010101001010
4,01000011010101100100011101000010
3,010100110100100001001000
3,010000100100011001011001
3,010100110100100001001100
4,01010001010011100100111101000011
4,01001110010001010100011001001011
3,010100110100100001010000
3,010100110100100001010010
3,010100110100100001010001
4,01001001010001100101011101010110
3,010000100100011101000011
4,01001000010101000101010001001010
4,01011010010010000100011101000011
3,010100110100100001010101
4,01011000010100110100001001010010
4,01001111010110010100100101000110
4,01010100010001100101010101000111
3,010100110100100001011010
3,010000100100011101001011
3,010000100100011101001110
4,01010010010100010101000101000001
4,01001001010101110101011101010001
3,010100110100100101000001
3,010000100100011101010100
4,01010101010110100101100101011010
4,01010000010010110100101001011010
3,010000100100011101010011
4,01001110010001010100010101000011
3,010100110100100101000110
3,010000100100011101011000
3,010100110100100101001001
3,010000100100011101010111
3,010100110100100101001000
3,010100110100100101001111
3,010100110100100101001110
4,01011010010010000100011101001100
4,01011000010100110100001001011010
4,01000110010011100100111101000100
3,010100110100100101010111
3,010000100100100001001000
4,01010100010001100101100001001001
3,010000100100100001001011
3,010100110100100101011010
3,010000100100100001001010
3,010000100100100001001101
3,010000100100100001001111
4,01000001010100000100001101001010
3,010000100100100001010000
4,01000110010011100101000101010111
3,010100110100101001000101
3,010000100100100001010111
3,010100110100101001001000
4,01000110010011100101000101011010
3,010100110100101001000111
3,010000100100100001011001
3,010000100100100001011000
3,010100110100101001001001
4,01000010010000100100010001001111
3,010100110100101001001011
3,010100110100101001001110
4,01000111010100010101010101000011
3,010000100100100101000010
3,010100110100101001010011
3,010000100100100101000101
3,010100110100101001010101
4,01001110010001010100011001010101
4,01011000010000100100001101000100
4,01011000010000100100001101000011
3,010100110100101101000010
3,010000100100100101010100
3,010100110100101101000100
4,01000010010000100100010101010110
4,01001101010000100100001101011001
3,010100110100101101001000
3,010000100100100101010111
3,010000100100100101011001
3,010100110100101101010000
3,010000100100101001000011
4,01000111010100010101010001000101
3,010100110100101101010100
4,01001001010001100101100001010111
3,010000100100101001001011
4,01010011010101000101100001011010
3,010000100100101001001110
4,01001011010011010100001001001011
3,010000100100101001010000
3,010100110100110001000110
4,01010011010000110101011101010000
3,010100110100110001001010
3,010000100100101001011000
4,01000100010010000100110101011010
4,01001111010010000100110101001011
3,010100110100110001010000
4,01001000010101000101101001001000
3,010000100100101101000100
4,01000100010010000100111001000100
3,010000100100101101000101
3,010100110100110001010111
3,010000100100101101001100
3,010000100100101101001111
4,01011000010100110100011001001110
4,01000100010010000100110001010011
3,010000100100101101010110
3,010100110100110101000110
3,010100110100110101001010
4,01000011010001010100101001010110
4,01000010010000100100011101010100
3,010100110100110101001101
4,01000011010101100100110001000100
4,01010010010100010101010101001001
4,01000101010010110101000001000001
3,010000100100110001000011
3,010000100100110001000010
3,010100110100110101010010
4,01010011010000110101011101000011
3,010100110100110101010101
3,010100110100110101010100
3,010000100100110001000111
4,01001101010000100100011001001001
3,010100110100110101010110
3,010000100100110001001100
3,010000100100110001001110
3,010100110100111001000010
4,01000010010100110100101001001011
3,010100110100111001001001
3,010100110100111001001100
3,010000100100110001011010
4,01001110010001010100110001001010
4,01001110010101100100110101011010
4,01000010010000100100100001010101
4,01000111010100010101100101000001
3,010100110100111001010010
4,01000100010010000101000001000010
3,010100110100111001010011
3,010100110100111001010110
3,010000100100110101000111
4,01011010010010000100111001010100
3,010100110100111001011001
3,010000100100110101010010
4,01000100010010000100111001010001
4,01001101010100110100100101001111
4,01000100010010000100111001010010
3,010000100100110101010011
3,010100110100111101000111
4,01011010010110010100111001010101
3,010000100100110101011010
3,010100110100111101001011
4,01001111010110010100111101011010
3,010100110100111101001111
4,01001110010001010100101101001010
4,01010010010100010101011101001100
3,010100110100111101010001
4,01001011010011010100001101010111
4,01011001010101100100110001001011
3,010100110100111101010000
4,01001110010001010100101101000101
3,010100110100111101010100
3,010000100100111001000110
4,01001011010011010100010001000001
4,01001110010001010100101101001100
3,010100110100111101011001
4,01010011010101000101101001010001
3,010000100100111001001101
4,01000010010100110100110001011010
4,01010101010010100100001001010011
3,010000100100111001001100
4,01011010010110010101001001000001
4,01000011010101100100111101010110
4,01001010010010100100001101000111
4,01000001010100000100100101010011
3,010100110101000001000011
3,010100110101000001001001
3,010100110101000001001011
3,010100110101000001010010
3,010100110101000001010001
4,01000101010010110101010101000100
3,010000100100111101000100
3,010100110101000001010110
3,010100110101000001011000
4,01001110010101100101000001000111
3,010100110101000001010111
4,01011010010110010101001001001001
4,01000100010010000101001001001100
3,010100110101000101000011
3,010000100100111101010010
4,01000101010010110101001101010010
4,01001111010110010101000101000111
3,010100110101000101000101
4,01010011010000110101101001001011
3,010000100100111101010101
3,010000100100111101011000
4,01001010010010100100001001001010
3,010100110101000101010010
3,010000100101000001000101
4,01001101010000100100101001001000
3,010000100101000001000100
3,010000100101000001000111
4,01000001010100000100101001000001
3,010100110101000101010110
3,010100110101000101011000
4,01011010010110010101000101001000
4,01011000010100110100101101000100
4,01000011010001010100111001001101
4,01010111010100000100101001011001
4,01001111010110010101010001010000
4,01011000010000100100110001001110
4,01001110010101100101000101001011
4,01000100010110010101010101000110
3,010100110101001001000101
3,010100110101001001001011
3,010100110101001001001111
4,01000110010011100101101001000101
4,01000100010110010101010101010010
3,010100110101001001010001
4,01010100010110000100001101010011
3,010000100101000101001001
3,010000100101000101001100
4,01001101010000100100110101010001
3,010000100101000101010010
3,010100110101001101000010
3,010000100101000101010100
3,010000100101000101010101
4,01001110010001010100111001011010
3,010000100101000101011000
4,01011001010101100100111101010011
4,01011010010110010101001001010110
4,01000101010010110101010101011001
3,010100110101001101001100
4,01000011010101100101001001001111
4,01001111010010000101001001001101
3,010100110101001101010000
3,010000100101001001000100
3,010000100101001001010001
4,01000100010010000101010101010011
4,01000001010100000100110101010111
4,01000010010000100100111101000110
4,01001111010010000101010101001010
3,010100110101010001001110
4,01011001010101100101001001011010
4,01011010010110010101010101011010
4,01001101010100110101000001010101
4,01001111010010000101010101010011
3,010000100101001101000011
3,010000100101001101001000
3,010100110101010001011000
3,010000100101001101000111
3,010000100101001101001001
3,010000100101001101001100
4,01010100010001110100010001001100
3,010000100101001101001111
4,01001110010101100101001001010000
4,01000101010010110101011101010111
3,010000100101001101011010
3,010100110101010101001010
3,010100110101010101001111
3,010000100101010001000001
3,010000100101010001000011
4,01010000010010110101011101001101
4,01011001010101100101001001010010
3,010000100101010001000110
4,01001101010000100100111001001011
4,01001111010010000101010001011000
3,010000100101010001001010
3,010100110101010101011010
4,01001111010010000101010001011010
3,010000100101010001001110
4,01010111010100000100110001001000
4,01010001010011100101101001011000
3,010100110101011001000010
3,010100110101011001000001
3,010000100101010001010011
4,01000100010110010101100101000101
3,010000100101010001010010
4,01001111010010000101011101000101
3,010000100101010001010101
3,010000100101010001010100
3,010100110101011001001010
3,010000100101010101000100
3,010100110101011001010100
3,010100110101011001010110
3,010100110101011001010101
4,01011001010101100101010101010101
3,010100110101011001010111
3,010100110101011001011010
4,01000111010100100100001001001101
4,01001110010001010101010001010000
4,01000010010000100101000001010111
4,01001101010000100101000101010101
4,01001110010001010101010001010111
3,010100110101011101000101
4,01010100010110000100011001000110
3,010000100101010101010101
3,010100110101011101000110
4,01000011010001010101010101001111
4,01001010010010100100100001001110
3,010100110101011101001011
4,01001010010010100100100001001101
3,010000100101010101011001
4,01010011010101010100001101001111
3,010000100101011001000001
3,010000100101011001000011
4,01010100010110000100011001001010
4,01001000010001000100001001010110
3,010000100101011001000110
4,01000111010100100100000101001010
3,010100110101011101011000
